time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_group,characteristic,school_type,gender,no_schools,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_rwm_met_higher_standard,t_read_eligible_pupils,t_read_met_expected_standard,t_read_met_higher_standard,t_read_not_achieved_expected_standard,t_read_working_below_assessment,t_read_absent,t_read_unable_to_access_or_just_arrived,t_read_unable_to_access,t_read_avg_scaled_score_eligible_pupils,t_read_sum_scaled_scores,t_gps_eligible_pupils,t_gps_met_expected_standard,t_gps_met_higher_standard,t_gps_not_achieved_expected_standard,t_gps_working_below_assessment,t_gps_absent,t_gps_unable_to_access_or_just_arrived,t_gps_unable_to_access,t_gps_avg_scaled_score_eligible_pupils,t_gps_sum_scaled_scores,t_mat_eligible_pupils,t_mat_met_expected_standard,t_mat_met_higher_standard,t_mat_not_achieved_expected_standard,t_mat_working_below_assessment,t_mat_absent,t_mat_unable_to_access_or_just_arrived,t_mat_unable_to_access,t_mat_avg_scaled_score_eligible_pupils,t_mat_sum_scaled_scores,t_writta_eligible_pupils,t_writta_met_expected_standard,t_writta_met_higher_standard,t_writta_working_towards_expected_standard,t_writta_pre_key_stage_standard_6,t_writta_pre_key_stage_standard_5,t_writta_pre_key_stage_standard_4,t_writta_pre_key_stage_standard_3,t_writta_pre_key_stage_standard_2,t_writta_pre_key_stage_standard_1,t_writta_growing_development_of_expected_standard,t_writta_early_development_of_expected_standard,t_writta_foundations_of_expected_standard,t_writta_engagement_model_or_below_pre_key_stage_standards,t_writta_below_interim_pre_key_stage_standards,t_writta_absent,t_writta_disapplied,t_scita_eligible_pupils,t_scita_met_expected_standard,t_scita_not_met_expected_standard,t_scita_absent,t_scita_disapplied,pt_rwm_met_expected_standard,pt_rwm_met_higher_standard,pt_read_met_expected_standard,pt_read_met_higher_standard,pt_read_not_achieved_expected_standard,pt_read_working_below_assessment,pt_read_absent,pt_read_unable_to_access_or_just_arrived,pt_read_unable_to_access,avg_read_scaled_score,pt_gps_met_expected_standard,pt_gps_met_higher_standard,pt_gps_not_achieved_expected_standard,pt_gps_working_below_assessment,pt_gps_absent,pt_gps_unable_to_access_or_just_arrived,pt_gps_unable_to_access,avg_gps_scaled_score,pt_mat_met_expected_standard,pt_mat_met_higher_standard,pt_mat_not_achieved_expected_standard,pt_mat_working_below_assessment,pt_mat_absent,pt_mat_unable_to_access_or_just_arrived,pt_mat_unable_to_access,avg_mat_scaled_score,pt_writta_met_expected_standard,pt_writta_met_higher_standard,pt_writta_working_towards_expected_standard,pt_writta_pre_key_stage_standard_6,pt_writta_pre_key_stage_standard_5,pt_writta_pre_key_stage_standard_4,pt_writta_pre_key_stage_standard_3,pt_writta_pre_key_stage_standard_2,pt_writta_pre_key_stage_standard_1,pt_writta_growing_development_of_expected_standard,pt_writta_early_development_of_expected_standard,pt_writta_foundations_of_expected_standard,pt_writta_engagement_model_or_below_pre_key_stage_standards,pt_writta_below_interim_pre_key_stage_standards,pt_writta_absent,pt_writta_disapplied,pt_scita_met_expected_standard,pt_scita_not_met_expected_standard,pt_scita_absent,pt_scita_disapplied
201516,Academic year,National,E92000001,England,Final,All pupils,Total,State-funded schools,Boys,15567,298975,148627,13799,299323,185878,47558,99988,12426,672,z,271,283803,28902851,299314,202051,55195,84287,11908,697,z,264,286289,29488928,299315,209309,54469,77660,11197,807,z,251,286887,29629925,298979,202402,32223,70011,z,z,z,z,z,z,14229,5185,2969,z,3060,362,761,298973,235433,62290,395,855,50,5,62,16,33,4,0,z,0,102,68,18,28,4,0,z,0,103,70,18,26,4,0,z,0,103,68,11,23,z,z,z,z,z,z,5,2,1,z,1,0,0,79,21,0,0
201516,Academic year,National,E92000001,England,Final,All pupils,Total,State-funded schools,Girls,15441,286605,164026,17772,286855,200321,61942,79283,6554,453,z,131,278485,28791990,286852,222782,76487,57052,6295,463,z,121,279816,29377252,286847,199796,42581,79850,6412,541,z,135,279560,28733418,286609,230906,53976,42656,z,z,z,z,z,z,7177,2256,1280,z,1545,234,555,286608,237981,47773,261,593,57,6,70,22,28,2,0,z,0,103,78,27,20,2,0,z,0,105,70,15,28,2,0,z,0,103,81,19,15,z,z,z,z,z,z,3,1,0,z,1,0,0,83,17,0,0
201516,Academic year,National,E92000001,England,Final,All pupils,Total,State-funded schools,Total,15622,585580,312653,31571,586178,386199,109500,179271,18980,1125,z,402,562288,57694841,586166,424833,131682,141339,18203,1160,z,385,566105,58866180,586162,409105,97050,157510,17609,1348,z,386,566447,58363343,585588,433308,86199,112667,z,z,z,z,z,z,21406,7441,4249,z,4605,596,1316,585581,473414,110063,656,1448,53,5,66,19,31,3,0,z,0,103,72,22,24,3,0,z,0,104,70,17,27,3,0,z,0,103,74,15,19,z,z,z,z,z,z,4,1,1,z,1,0,0,81,19,0,0
201516,Academic year,National,E92000001,England,Final,Disadvantage status,Disadvantaged,State-funded schools,Boys,13999,94841,33939,1540,95024,46768,7678,41417,6298,378,z,116,87018,8635983,95019,52479,10133,35949,6051,380,z,115,88397,8901550,95016,54712,9324,33922,5787,447,z,99,88576,8939686,94843,53442,5294,28108,z,z,z,z,z,z,6905,2793,1652,z,1540,162,241,94837,64388,29975,177,297,36,2,49,8,44,7,0,z,0,99,55,11,38,6,0,z,0,101,58,10,36,6,0,z,0,101,56,6,30,z,z,z,z,z,z,7,3,2,z,2,0,0,68,32,0,0
201516,Academic year,National,E92000001,England,Final,Disadvantage status,Disadvantaged,State-funded schools,Girls,13832,91662,39375,2122,91770,52635,10513,35654,3133,255,z,42,87616,8812663,91770,61538,15227,26885,3013,246,z,37,88413,9078256,91767,52760,7092,35455,3183,278,z,38,88167,8864473,91666,65619,10028,19395,z,z,z,z,z,z,3834,1210,692,z,733,65,118,91662,67644,23794,74,150,43,2,57,11,39,3,0,z,0,101,67,17,29,3,0,z,0,103,57,8,39,3,0,z,0,101,72,11,21,z,z,z,z,z,z,4,1,1,z,1,0,0,74,26,0,0
201516,Academic year,National,E92000001,England,Final,Disadvantage status,Disadvantaged,State-funded schools,Total,15017,186503,73314,3662,186794,99403,18191,77071,9431,633,z,158,174634,17448646,186789,114017,25360,62834,9064,626,z,152,176810,17979806,186783,107472,16416,69377,8970,725,z,137,176743,17804159,186509,119061,15322,47503,z,z,z,z,z,z,10739,4003,2344,z,2273,227,359,186499,132032,53769,251,447,39,2,53,10,41,5,0,z,0,100,61,14,34,5,0,z,0,102,58,9,37,5,0,z,0,101,64,8,25,z,z,z,z,z,z,6,2,1,z,1,0,0,71,29,0,0
201516,Academic year,National,E92000001,England,Final,Disadvantage status,Not known to be disadvantaged,State-funded schools,Boys,15373,204134,114688,12259,204299,139110,39880,58571,6128,294,z,155,196785,20266868,204295,149572,45062,48338,5857,317,z,149,197892,20587378,204299,154597,45145,43738,5410,360,z,152,198311,20690239,204136,148960,26929,41903,z,z,z,z,z,z,7324,2392,1317,z,1520,200,520,204136,171045,32315,218,558,56,6,68,20,29,3,0,z,0,103,73,22,24,3,0,z,0,104,76,22,21,3,0,z,0,104,73,13,21,z,z,z,z,z,z,4,1,1,z,1,0,0,84,16,0,0
201516,Academic year,National,E92000001,England,Final,Disadvantage status,Not known to be disadvantaged,State-funded schools,Girls,15182,194943,124651,15650,195085,147686,51429,43629,3421,198,z,89,190869,19979327,195082,161244,61260,30167,3282,217,z,84,191403,20298996,195080,147036,35489,44395,3229,263,z,97,191393,19868945,194943,165287,43948,23261,z,z,z,z,z,z,3343,1046,588,z,812,169,437,194946,170337,23979,187,443,64,8,76,26,22,2,0,z,0,105,83,31,15,2,0,z,0,106,75,18,23,2,0,z,0,104,85,23,12,z,z,z,z,z,z,2,1,0,z,0,0,0,87,12,0,0
201516,Academic year,National,E92000001,England,Final,Disadvantage status,Not known to be disadvantaged,State-funded schools,Total,15537,399077,239339,27909,399384,286796,91309,102200,9549,492,z,244,387654,40246195,399377,310816,106322,78505,9139,534,z,233,389295,40886374,399379,301633,80634,88133,8639,623,z,249,389704,40559184,399079,314247,70877,65164,z,z,z,z,z,z,10667,3438,1905,z,2332,369,957,399082,341382,56294,405,1001,60,7,72,23,26,2,0,z,0,104,78,27,20,2,0,z,0,105,76,20,22,2,0,z,0,104,79,18,16,z,z,z,z,z,z,3,1,0,z,1,0,0,86,14,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Any other ethnic group,State-funded schools,Boys,2667,5221,2412,209,5239,2837,592,2018,370,8,z,5,4815,483652,5239,3533,1168,1336,357,6,z,6,4869,504888,5238,3816,1130,1103,307,7,z,4,4918,513112,5221,3427,542,1179,z,z,z,z,z,z,288,123,70,z,69,12,53,5221,3892,1265,12,52,46,4,54,11,39,7,0,z,0,100,67,22,26,7,0,z,0,104,73,22,21,6,0,z,0,104,66,10,23,z,z,z,z,z,z,6,2,1,z,1,0,1,75,24,0,1
