time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic,characteristic_group,gender,subject,scaled_scores,t_eligible_pupils,pt_cumulative
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,N,1154,0
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,80,4354,1
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,82,2210,1
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,83,2674,2
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,84,2776,2
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,85,3128,3
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,86,3378,3
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,87,3718,4
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,88,3970,4
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,89,8996,6
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,90,5084,7
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,91,5499,7
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,92,12434,9
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,93,6995,11
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,94,7769,12
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,95,17611,15
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,96,10097,16
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,97,22816,20
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,98,13323,22
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,99,13700,24
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,100,33709,30
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,101,18395,32
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,102,40307,39
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,103,22449,43
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,104,23591,46
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,105,24896,50
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,106,52072,59
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,107,27488,63
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,108,28168,67
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,109,28496,72
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,110,29127,77
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,111,28354,81
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,112,452,81
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,113,27069,86
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,114,25084,90
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,115,21746,93
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,116,348,93
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,117,17922,96
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,118,13017,98
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,Reading,120,12706,100
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",N,214,0
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",80,786,0
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",81,763,0
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",82,1002,0
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",83,1190,1
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",84,1437,1
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",85,1722,1
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",86,1880,1
201819,Academic year,National,E92000001,England,Final,School type,Allschools,Total,"Grammar, punctuation and spelling",87,4275,2
